code,project_name,developer,sector,corridor,stage,existing_source_url,manual_source_url,notes
GGM-36A-TER,Max Estate Terraces,Max Estates Limited,Sector 36A,Dwarka Expressway,New Launch,,,
GGM-80-ELI,Conscient Eliara,Conscient Infrastructure,Sector 80,New Gurgaon,Under Construction,,,
GGM-17C-DWA,Eldeco Dwarka,Eldeco Infrastructure and Properties,Sector 17C,Old Gurgaon,New Launch,,,
GGM-53-753,Godrej Samaris,Godrej Properties Limited,Sector 53,Golf Course Road,New Launch,,,
GGM-42-ONE,Experion One42,Experion Developers Pvt Ltd,Sector 42,Golf Course Road,Under Construction,,,
GGM-58-360,Oberoi 360 North,Oberoi Realty Limited,Sector 58,Golf Course Extension,New Launch,,,
GGM-43-MIR,Godrej Mirayah,Godrej Properties Limited,Sector 43,Golf Course Road,Under Construction,,,
GGM-46-DUA,SP Dualis,Shapoorji Pallonji Real Estate,Sector 46,Golf Course Road,Under Construction,,,
GGM-69-TRU,Trump Tower 2,Tribeca Creators LLP,Sector 69,Southern Peripheral Road,Under Construction,,,
GGM-103-VRI,Godrej Vriksha,Godrej Properties Limited,Sector 103,Dwarka Expressway,Under Construction,,,
GGM-MAN-GIC,Smartworld GIC,Smartworld Developers,Manesar,Manesar,Under Construction,,,
GGM-113-STA,M3M St Andrews,M3M India Pvt Ltd,Sector 113,Dwarka Expressway,Under Construction,,,
GGM-103-WES,Whiteland Westin Residences,Whiteland Corporation,Sector 103,Dwarka Expressway,Under Construction,https://reratracker.com/the-westin-residences-by-whiteland-phase-3-in-gurugram-by-whiteland-corporation-pvt-ltd-rtid4278,,
GGM-63A-KAI,TARC Kailasa,TARC Limited,Sector 63A,Golf Course Extension,Under Construction,,,
GGM-104-LEV,Satya Levante,Satya Group,Sector 104,Dwarka Expressway,Under Construction,,,
GGM-113-MIR,M3M Mira Vita,M3M India Pvt Ltd,Sector 113,Dwarka Expressway,Under Construction,,,
GGM-45-ELE,Experion Elements,Experion Developers Pvt Ltd,Sector 45,Golf Course Road,Under Construction,https://reratracker.com/experion-elements-phase-2-in-gautam-buddha-nagar-by-experion-developers-pvt-ltd-rtid826,,
