code,name,developer,corridor,stage,priceSqft,reraNumber,reraPossession,absorption,inventory,reraDetails.landArea,reraDetails.totalLicensedLand,reraDetails.totalTowers,reraDetails.totalUnits,reraDetails.unitsSold,reraDetails.unitsAvailable,reraDetails.totalFloors,reraDetails.launchPrice,reraDetails.currentPrice,reraDetails.configurations,reraDetails.sizes,reraDetails.startDate,reraDetails.completionDate,reraDetails.sourceUrl,locationIntel.score,locationIntel.commute,locationIntel.livability,developerRisk.score,tracker.signal,missing_count
GGM-103-RIV,AIPL Riviera,AIPL (Advance India Projects Limited),Dwarka Expressway,New Launch,present,present,present,missing,missing,present,present,present,present,missing,missing,present,present,present,present,present,present,present,present,missing,missing,missing,present,present,7
GGM-80-AAR,Ashiana Aaroham,Ashiana Housing Ltd,New Gurgaon,New Launch,present,present,present,missing,missing,present,present,present,present,missing,missing,present,present,present,present,present,present,present,present,missing,missing,missing,present,missing,8
GGM-36A-M361,Max Estate 361,Max Estates Limited,Dwarka Expressway,Under Construction,present,present,present,missing,missing,present,present,present,present,missing,missing,present,present,present,present,present,present,present,present,missing,missing,missing,present,missing,8
GGM-36A-TER,Max Estate Terraces,Max Estates Limited,Dwarka Expressway,New Launch,present,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,present,missing,22
GGM-36A-ANT,Max Antara,Max Estates Limited,Dwarka Expressway,Under Construction,present,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,present,missing,22
GGM-80-ELI,Conscient Elaira Phase 1,Conscient Infrastructure,New Gurgaon,Under Construction,present,present,missing,missing,missing,present,present,missing,present,missing,missing,present,missing,missing,missing,present,missing,missing,present,missing,missing,missing,present,missing,15
GGM-17C-DWA,Eldeco Dwarka,Eldeco Infrastructure and Properties,Old Gurgaon,New Launch,present,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,present,missing,22
GGM-53-753,Godrej Samaris,Godrej Properties Limited,Golf Course Road,New Launch,present,present,missing,missing,missing,present,present,missing,present,missing,missing,present,missing,missing,missing,present,present,missing,present,missing,missing,missing,present,missing,14
GGM-42-ONE,Experion One 42 (Golf Course Road),Experion Developers Pvt Ltd,Golf Course Road,Under Construction,present,present,present,missing,missing,present,present,present,present,missing,missing,present,present,present,present,present,present,present,present,missing,missing,missing,present,missing,8
GGM-102A-MAR,Adani The Marq,Adani Realty,Dwarka Expressway,Under Construction,present,present,present,missing,missing,present,present,present,present,missing,missing,present,present,present,present,present,present,present,present,missing,missing,missing,present,missing,8
GGM-31-ARI,Birla Arika,Birla Estates Pvt Ltd,MG Road Extension,New Launch,present,present,missing,missing,missing,present,present,missing,present,missing,missing,present,missing,missing,missing,present,present,missing,present,missing,missing,missing,present,missing,14
GGM-63A-SOB,Sobha Crescent,Sobha Limited,Golf Course Extension,Under Construction,present,present,present,missing,missing,present,present,present,present,missing,missing,present,present,present,present,present,present,present,present,missing,missing,missing,present,missing,8
GGM-78-MON,Suncity Monarch,Suncity Projects Pvt Ltd,New Gurgaon,New Launch,present,present,present,missing,missing,present,present,present,present,missing,missing,present,present,present,present,present,present,present,present,missing,missing,missing,present,missing,8
GGM-66-DOW,BPTP Downtown,BPTP Limited,Golf Course Extension,Under Construction,present,present,present,missing,missing,present,present,present,present,missing,missing,present,missing,missing,present,present,present,present,present,missing,missing,missing,present,missing,10
GGM-58-360,Oberoi 360 North,Oberoi Realty Limited,Golf Course Extension,New Launch,present,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,present,missing,22
GGM-53-SOR,Godrej Sora,Godrej Properties Limited,Golf Course Road,Under Construction,present,present,present,missing,missing,present,present,present,present,missing,missing,present,missing,missing,present,present,present,present,present,missing,missing,missing,present,missing,10
GGM-43-MIR,Godrej Miraya,Godrej Properties Limited,Golf Course Road,Under Construction,present,present,present,missing,missing,present,present,present,present,missing,missing,present,present,present,present,present,present,present,present,missing,missing,missing,present,missing,8
GGM-48-TRI,Experion Trillion Tower 2,Experion Developers Pvt Ltd,Sohna Road,Under Construction,present,present,present,missing,missing,present,present,present,present,missing,missing,present,present,present,present,present,present,present,present,missing,missing,missing,present,missing,8
GGM-46-DUA,Shapoorji The Dualis,Shapoorji Pallonji Real Estate,Golf Course Road,Under Construction,present,present,present,missing,missing,present,present,present,present,missing,missing,present,present,present,present,present,present,present,present,missing,missing,missing,present,missing,8
GGM-36A-KP3,Krisumi Waterfall Residences (Ph 3),Krisumi Corporation,Dwarka Expressway,Under Construction,present,present,present,missing,missing,present,present,present,present,missing,missing,present,present,present,present,present,present,present,present,missing,missing,missing,present,missing,8
GGM-36A-KP5,Krisumi Waterside Residences,Krisumi Corporation,Dwarka Expressway,Under Construction,present,present,present,missing,missing,present,present,present,present,missing,missing,present,present,present,present,present,present,present,present,missing,missing,missing,present,missing,8
GGM-36A-KFR,Krisumi Waterside Forest Reserve,Krisumi Corporation,Dwarka Expressway,New Launch,missing,present,present,missing,missing,present,present,missing,present,missing,missing,present,missing,missing,missing,present,present,missing,present,missing,missing,missing,present,missing,14
GGM-104-PAL,Hero Homes Palatial,Hero Realty (Hero Group),Dwarka Expressway,Under Construction,present,present,missing,missing,missing,present,present,missing,present,missing,missing,present,missing,missing,missing,present,missing,missing,present,missing,missing,missing,present,missing,15
GGM-86-SER,Emaar Serenity Hills,Emaar India Ltd,New Gurgaon,Under Construction,present,present,present,missing,missing,present,present,missing,missing,missing,missing,missing,missing,missing,missing,present,present,present,present,missing,missing,missing,present,missing,14
GGM-69-TRU,Trump Residences (Smartworld),Tribeca Creators LLP,Southern Peripheral Road,Under Construction,present,present,present,missing,missing,present,present,missing,present,missing,missing,present,missing,missing,missing,present,missing,missing,present,missing,missing,missing,present,missing,14
GGM-49-ELA,Elan The Statement,Elan Group,Golf Course Extension,Under Construction,present,present,present,missing,missing,present,present,present,present,missing,missing,present,present,present,present,present,present,present,present,missing,missing,missing,present,missing,8
GGM-103-VRI,Godrej Vrikshya,Godrej Properties Limited,Dwarka Expressway,Under Construction,present,present,present,missing,missing,present,present,present,present,missing,missing,present,present,present,present,present,present,present,present,missing,missing,missing,present,missing,8
GGM-31-ALI,Godrej Alira,Godrej Properties Limited,MG Road Extension,Under Construction,present,present,present,missing,missing,present,present,present,present,missing,missing,missing,present,present,present,present,present,present,present,missing,missing,missing,present,missing,9
GGM-104-STU,Central Park Studio,Central Park,Dwarka Expressway,New Launch,present,present,missing,missing,missing,present,present,missing,missing,missing,missing,missing,missing,missing,missing,present,missing,missing,present,missing,missing,missing,present,missing,17
GGM-111-ELI,M3M Elie Saab,M3M India Pvt Ltd,Dwarka Expressway,New Launch,present,present,present,missing,missing,present,present,present,present,missing,missing,missing,present,present,present,present,present,present,present,missing,missing,missing,present,missing,9
GGM-MAN-GIC,M3M Forestia East I,Smartworld Developers,Manesar,Under Construction,present,present,missing,missing,missing,present,present,missing,present,missing,missing,present,missing,missing,missing,present,missing,missing,present,missing,missing,missing,present,missing,15
GGM-49-ARI,Godrej Aristocrat,Godrej Properties Limited,Golf Course Extension,Under Construction,present,present,present,missing,missing,present,present,present,present,missing,missing,present,present,present,present,present,present,present,present,missing,missing,missing,present,missing,8
GGM-89-ZEN,Godrej Zenith,Godrej Properties Limited,Dwarka Expressway,Under Construction,present,present,present,missing,missing,present,present,present,present,missing,missing,present,present,present,present,present,present,present,present,missing,missing,missing,present,missing,8
GGM-54-AST,Godrej Astra,Godrej Properties Limited,Golf Course Road,New Launch,present,present,present,missing,missing,present,present,present,present,missing,missing,present,present,present,present,present,present,present,present,missing,missing,missing,present,missing,8
