code,project_name,developer,sector,corridor,stage,existing_source_url,manual_source_url,notes
GGM-36A-TER,Max Estate Terraces,Max Estates Limited,Sector 36A,Dwarka Expressway,New Launch,,,
GGM-80-ELI,Conscient Eliara,Conscient Infrastructure,Sector 80,New Gurgaon,Under Construction,,https://reratracker.com/conscient-elaira-phase-1-in-gurugram-by-conscient-infrastructure-private-limited-rtid3621,
GGM-17C-DWA,Eldeco Dwarka,Eldeco Infrastructure and Properties,Sector 17C,Old Gurgaon,New Launch,,,
GGM-53-753,Godrej Samaris,Godrej Properties Limited,Sector 53,Golf Course Road,New Launch,,https://reratracker.com/godrej-samaris-in-gurugram-by-godrej-properties-limited-rtid5612,
GGM-42-ONE,Experion One42,Experion Developers Pvt Ltd,Sector 42,Golf Course Road,Under Construction,,https://reratracker.com/experion-one-42-golf-course-road-in-gurugram-by-experion-developers-private-limited-rtid3939,
GGM-58-360,Oberoi 360 North,Oberoi Realty Limited,Sector 58,Golf Course Extension,New Launch,,,
GGM-43-MIR,Godrej Mirayah,Godrej Properties Limited,Sector 43,Golf Course Road,Under Construction,,https://reratracker.com/godrej-miraya-in-gurugram-by-godrej-projects-development-limited-rtid3708,
GGM-46-DUA,SP Dualis,Shapoorji Pallonji Real Estate,Sector 46,Golf Course Road,Under Construction,,https://reratracker.com/shapoorji-the-dualis-in-gurugram-by-spre-gurugram-properties-pvt-ltd-sector-46-rtid5134,
GGM-69-TRU,Trump Tower 2,Tribeca Creators LLP,Sector 69,Southern Peripheral Road,Under Construction,,https://reratracker.com/trump-residences-smartworld-in-gurugram-by-riverday-infrastructure-private-limited-rtid4256,
GGM-103-VRI,Godrej Vriksha,Godrej Properties Limited,Sector 103,Dwarka Expressway,Under Construction,,https://reratracker.com/godrej-vrikshya-in-gurugram-by-godrej-vestamark-llp-rtid3712,
GGM-MAN-GIC,Smartworld GIC,Smartworld Developers,Manesar,Manesar,Under Construction,,https://reratracker.com/m3m-forestia-east-i-in-gurugram-by-m3m-india-infrastructures-private-limited-rtid5422,
GGM-113-STA,M3M St Andrews,M3M India Pvt Ltd,Sector 113,Dwarka Expressway,Under Construction,,,
GGM-103-WES,Whiteland Westin Residences,Whiteland Corporation,Sector 103,Dwarka Expressway,Under Construction,https://reratracker.com/the-westin-residences-by-whiteland-phase-3-in-gurugram-by-whiteland-corporation-pvt-ltd-rtid4278,https://reratracker.com/the-westin-residences-by-whiteland-in-gurugram-by-whiteland-corporation-pvt-ltd-rtid4276,
GGM-63A-KAI,TARC Kailasa,TARC Limited,Sector 63A,Golf Course Extension,Under Construction,,https://reratracker.com/tarc-ishva-in-gurugram-by-tarc-limited-rtid4187,Update name to TARC Ishva
GGM-104-LEV,Satya Levante,Satya Group,Sector 104,Dwarka Expressway,Under Construction,,https://reratracker.com/levante-residences-in-gurugram-by-sv-infra-management-solutions-pvt-ltd-formerly-known-as-sv-infra-management-solutions-llp-rtid5393,
GGM-113-MIR,M3M Mira Vita,M3M India Pvt Ltd,Sector 113,Dwarka Expressway,Under Construction,,https://reratracker.com/m3m-elie-saab-at-scda-in-gurugram-by-metro-education-welfare-private-limited-rtid5246,Update name to M3M Elie Saab
GGM-45-ELE,Experion Elements,Experion Developers Pvt Ltd,Sector 45,Golf Course Road,Under Construction,https://reratracker.com/experion-elements-phase-2-in-gautam-buddha-nagar-by-experion-developers-pvt-ltd-rtid826,https://reratracker.com/experion-the-trillion-in-gurugram-by-experion-developers-private-limited-rtid4244,update name to Experion Trillion
