project_name,rera_registration_no,rera_status,source_url,developer_name,developer_address,developer_phone,developer_email,developer_website,developer_cin,developer_pan,plot_no,sector,city,district,state,pin_code,tehsil,project_type,applicant_type,land_area,total_units,units_sold,units_available,project_address,configurations,sizes,project_size,total_floors,launch_price,current_price,density,proposed_far,permissible_far,total_licensed_land,start_date,completion_date,extended_date,total_project_cost,escrow_account,amenities,project_description,other_details
4S The Aurrum,RERA-GRG-1572-2024,,https://reratracker.com/4s-the-aurrum-in-gurugram-by-4s-developers-private-limited-rtid3439,4S Developers,,9999249577,4STHEAURRUM@GMAIL.COM,,,,,59,Gurugram,GURUGRAM,Haryana,,WAZIRABAD ST,NEW,,5.42957 (Acre),243,,,"VILLAGE ULLAHWAS \u0026 BEHRAMPUR, SECTOR 59 \u0026 63A GURUGRAM",,48x48,,42,,,,1.25,1.25,10.071875 (Acre),,,,,,,,
Adani Lushlands,RERA-GRG-1526-2024,,https://reratracker.com/adani-lushlands-in-gurugram-by-adani-infrastructure-and-developers-private-limited-rtid3843,Adani Realty,,9582376753,atulkumar.jain@adani.com,,,,,,Gurugram,GURUGRAM,Haryana,,WAZIRABAD ST,ONGOING,,8.349 (Acre),208,,,"VILLAGE GWAL PAHARI, SECTOR 02, GURUGRAM",,48x48,,32,,,,1.75,1.75,12.356 (Acre),,,,,,,,
Adani The MarQ,RERA-GRG-2140-2025,,https://reratracker.com/adani-the-marq-in-gurugram-by-adani-m2k-realtors-llp-rtid5504,Adani Realty,,9289934504,SatyendraNath.Tiwari@adani.com,,,,,102,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,5.1625 (Acre),368,,,SECTOR 102 \u0026 102A,,48x48,,46,,,,3.1136,3.12,5.1625 (Acre),,,,,,,,
Adani Samsara Ivana 2.0,RERA-GRG-2024-2025,,https://reratracker.com/adani-samsara-ivana-2-0-in-gurugram-by-adani-brahma-synergy-private-limited-rtid5363,Adani Brahma Synergy Pvt Ltd,,8130362424,satyendranath.tiwari@adani.com,,,,,63,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,NEW,,1.22 (Acre),68,,,"SECTOR 63, BLOCK - I VILLAGE MAIDAVAS",,48x48,,4,,,,2.4,2.4,141.6687 (Acre),,,,,,,,
Adani Samsara Avasa,RERA-GRG-1150-2022,,https://reratracker.com/adani-samsara-avasa-in-gurugram-by-adani-brahma-synergy-private-limited-rtid4035,Adani Realty,,8075810205,praveen.kumar8@adani.com,,,,,63,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,NEW,,1.2296 (Acre),68,,,"BLOCK-L, SECTOR-63, VILLAGE-ULLAHAWAS",,48x48,,4,,,,2.298,2.412,141.66875 (Acre),,,,,,,,
Adani Samsara Ivana,RERA-GRG-1787-2024,,https://reratracker.com/adani-samsara-ivana-in-gurugram-by-adani-brahma-synergy-private-limited-rtid4036,Adani Realty,,8130362424,satyendranath.tiwari@adani.com,,,,,63,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,NEW,,3.4355 (Acre),192,,,"SECTOR 63, BLOCK - I VILLAGE MAIDAVAS",,48x48,,,,,,2.4,2.4,141.6687 (Acre),,,,,,,,
Adani Samsara Ivana 2.0,RERA-GRG-2024-2025,,https://reratracker.com/adani-samsara-ivana-2-0-in-gurugram-by-adani-brahma-synergy-private-limited-rtid5363,Adani Brahma Synergy Pvt Ltd,,8130362424,satyendranath.tiwari@adani.com,,,,,63,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,NEW,,1.22 (Acre),68,,,"SECTOR 63, BLOCK - I VILLAGE MAIDAVAS",,48x48,,4,,,,2.4,2.4,141.6687 (Acre),,,,,,,,
Adani The MarQ,RERA-GRG-2140-2025,,https://reratracker.com/adani-the-marq-in-gurugram-by-adani-m2k-realtors-llp-rtid5504,Adani Realty,,9289934504,SatyendraNath.Tiwari@adani.com,,,,,102A,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,5.1625 (Acre),368,,,SECTOR 102 \u0026 102A,,48x48,,46,,,,3.1136,3.12,5.1625 (Acre),,,,,,,,
Adani Veris,RERA-GRG-1877-2025,,https://reratracker.com/adani-veris-in-gurugram-by-adani-infrastructure-developers-private-limited-rtid4287,Adani Infrastructure & Developers Private Limited,,9582376753,satyendranath.tiwari@adani.com,,,,,,Gurugram,GURUGRAM,Haryana,,WAZIRABAD ST,NEW,,4.0069 (Acre),34,,,"VILLAGE GWAL PAHARI, SECTOR 02, GURUGRAM",,48x48,,32,,,,1.87,1.87,12.356 (Acre),,,,,,,,
RIVIERA AT AIPL LAKE CITY,RERA-GRG-2085-2025,,https://reratracker.com/riviera-at-aipl-lake-city-in-gurugram-by-aipl-bharat-infrastructure-private-limited-rtid5325,AIPL,,9999337265,rera-haryana@aipl.com,,,,,103,Gurugram,GURUGRAM,Haryana,,KADIPUR ST,NEW,,5.1375 (Acre),344,,,VILLAGE DAULTABAD SECTOR- 103,,48x48,,43,,,,315,315,5.1375 (Acre),,,,,,,,
