plinth_code,project_name,hrera_project_name,rera_number,registration_number,quarter_end_date,quarter_label,total_units,sold_in_quarter_units,cumulative_sold_units,cumulative_absorption_pct,capped_at_total_units
GGM-102-AVG,BPTP Amstoria Verti Greens,BPTP AMSTORIA VERTI-GREENS,GGM/910/642/2025/13,GGM/910/642/2025/13 DATED 05.02.2025,2025-06-30,APR-JUN,885,467,467,52.77%,false
GGM-102-AVG,BPTP Amstoria Verti Greens,BPTP AMSTORIA VERTI-GREENS,GGM/910/642/2025/13,GGM/910/642/2025/13 DATED 05.02.2025,2025-09-30,JUL-SEP,885,10,477,53.90%,false
GGM-102-AVG,BPTP Amstoria Verti Greens,BPTP AMSTORIA VERTI-GREENS,GGM/910/642/2025/13,GGM/910/642/2025/13 DATED 05.02.2025,2025-12-31,OCT-DEC,885,11,488,55.14%,false
GGM-102-AVG,BPTP Amstoria Verti Greens,BPTP AMSTORIA VERTI-GREENS,GGM/910/642/2025/13,GGM/910/642/2025/13 DATED 05.02.2025,2026-03-31,JAN-MAR,885,8,496,56.05%,false
GGM-102-AVG,BPTP Amstoria Verti Greens,BPTP AMSTORIA VERTI-GREENS,GGM/910/642/2025/13,GGM/910/642/2025/13 DATED 05.02.2025,2026-06-30,APR-JUN,885,3,499,56.38%,false
GGM-102-AVG,BPTP Amstoria Verti Greens,BPTP AMSTORIA VERTI-GREENS,GGM/910/642/2025/13,GGM/910/642/2025/13 DATED 05.02.2025,2025-06-30,APR-JUN,885,467,467,52.77%,false
GGM-102-AVG,BPTP Amstoria Verti Greens,BPTP AMSTORIA VERTI-GREENS,GGM/910/642/2025/13,GGM/910/642/2025/13 DATED 05.02.2025,2025-09-30,JUL-SEP,885,10,477,53.90%,false
GGM-102-AVG,BPTP Amstoria Verti Greens,BPTP AMSTORIA VERTI-GREENS,GGM/910/642/2025/13,GGM/910/642/2025/13 DATED 05.02.2025,2025-12-31,OCT-DEC,885,11,488,55.14%,false
GGM-102-AVG,BPTP Amstoria Verti Greens,BPTP AMSTORIA VERTI-GREENS,GGM/910/642/2025/13,GGM/910/642/2025/13 DATED 05.02.2025,2026-03-31,JAN-MAR,885,8,496,56.05%,false
GGM-102-AVG,BPTP Amstoria Verti Greens,BPTP AMSTORIA VERTI-GREENS,GGM/910/642/2025/13,GGM/910/642/2025/13 DATED 05.02.2025,2026-06-30,APR-JUN,885,3,499,56.38%,false
GGM-102-AVG,BPTP Amstoria Verti Greens,BPTP AMSTORIA VERTI-GREENS,GGM/910/642/2025/13,GGM/910/642/2025/13 DATED 05.02.2025,2025-06-30,APR-JUN,885,467,467,52.77%,false
