plinth_code,project_name,hrera_project_name,rera_number,registration_number,quarter_end_date,quarter_label,total_units,sold_in_quarter_units,cumulative_sold_units,cumulative_absorption_pct,capped_at_total_units
GGM-102-AVG,BPTP Amstoria Verti Greens,BPTP AMSTORIA VERTI-GREENS,GGM/910/642/2025/13,GGM/910/642/2025/13 DATED 05.02.2025,2026-03-31,JAN-MAR,885,8,496,56.05%,false
GGM-103-RIV,AIPL Riviera,RIVIERA AT AIPL LAKE CITY,GGM/1019/751/2025/122,GGM/1019/751/2025/122 DATED 08.12.2025,2026-03-31,JAN-MAR,0,0,0,,false
GGM-103-URB,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65,GGM/838/570/2024/65 DATED 18.06.2024,2026-03-31,JAN-MAR,848,12,532,62.74%,false
GGM-103-VRI,Godrej Vriksha,GODREJ VRIKSHYA,GGM/846/578/2024/73,GGM/846/578/2024/73 DATED 01.07.2024,2026-03-31,JAN-MAR,744,4,68,9.14%,false
GGM-104-HP,Hero Homes Phase 2,HERO HOMES,GGM/292/2018/24,GGM/292/2018/24 DATED 13.11.2018,2026-03-31,JAN-MAR,1103,18,965,87.49%,false
GGM-104-PAL,Hero Homes Palatial,"THE PALATIAL PHASE 4 (TOWER-A, TOWER-B, CLUB (COMMUNITY HALL) & COMMERCIAL)",GGM/906/638/2025/09,GGM/906/638/2025/09 DATED 27.01.2025,2026-03-31,JAN-MAR,462,18,137,29.65%,false
GGM-106-ALT,Sobha Altus,SOBHA ALTUS,GGM/828/560/2024/55,GGM/828/560/2024/55 DATED 27.05.2024,2026-03-31,JAN-MAR,296,3,77,26.01%,false
GGM-106-C,MRG Crown,MRG CROWN,GGM/706/438/2023/50,GGM/706/438/2023/50 DATED 29.03.2023,2025-12-31,OCT-DEC,436,1,436,100.00%,true
GGM-106-M,Elan The Mark,ELAN THE MARK,GGM/702/434/2023/46,GGM/702/434/2023/46 DATED 06.03.2023,2026-03-31,JAN-MAR,885,0,533,60.23%,false
GGM-106-MG,Godrej Meridien Grandeur,GODREJ MERIDIEN PHASE III,GGM/393/125/2020/09,GGM/393/125/2020/09 DATED 10.02.2020,2026-03-31,JAN-MAR,428,0,352,82.24%,false
GGM-111-CRO,M3M Crown,M3M CROWN PHASE 1,GGM/687/419/2023/31,GGM/687/419/2023/31 DATED 02.02.2023,2026-03-31,JAN-MAR,1332,9,1301,97.67%,false
GGM-111-DR,Puri Diplomatic Residences,PURI DIPLOMATIC RESIDENCES,GGM/787/519/2024/14,GGM/787/519/2024/14 DATED 19.02.2024,2026-03-31,JAN-MAR,692,13,659,95.23%,false
GGM-111-ELI,M3M Elie Saab,M3M ELIE SAAB AT SCDA,GGM/992/724/2025/95,GGM/992/724/2025/95 DATED 16.10.2025,2026-03-31,JAN-MAR,336,8,8,2.38%,false
GGM-112-ET,Emaar The 88,THE 88,GGM/791/523/2024/18,GGM/791/523/2024/18 DATED 04.03.2024,2026-03-31,JAN-MAR,176,0,53,30.11%,false
GGM-112-UA,Emaar Urban Ascent,URBAN ASCENT,GGM/898/630/2025/01,GGM/898/630/2025/01 DATED 08.01.2025,2026-03-31,JAN-MAR,816,0,83,10.17%,false
GGM-113-CAP,M3M Capital,M3M CAPITAL PHASE -2,GGM/612/344/2022/87,GGM/612/344/2022/87 DATED 28.09.2022,2026-03-31,JAN-MAR,1760,2,1760,100.00%,true
GGM-113-MAN,M3M Mansion,M3M MANSION,GGM/802/534/2024/29,GGM/802/534/2024/29 DATED 18.03.2024,2026-03-31,JAN-MAR,978,3,922,94.27%,false
GGM-113-MIR,M3M Mira Vita,M3M ELIE SAAB AT SCDA,GGM/992/724/2025/95,GGM/992/724/2025/95 DATED 16.10.2025,2026-03-31,JAN-MAR,336,8,8,2.38%,false
